1nz,N,Z,A,EL,MASSEXCESS,AtomicMass,BE,BE_uncer
9,35,26,61,Fe,-58920.494,60.936746244,7907.479,0.041
1,31,30,61,Zn,-56348.903,60.93950696,8738.969,0.02
-1,30,31,61,Ga,-47134.659,60.949398859,8141.959,0.007
13,37,24,61,Cr,-42475.229,60.954400963,7886.053,0.006
15,38,23,61,V ,-30506.429,60.96725,8131.746,0.007
6,34,28,62,Ni,-66746.323,61.928344871,8129.601,0.007
2,32,30,62,Zn,-61167.972,61.934333477,8117.019,0.007
0,31,31,62,Ga,-51986.906,61.944189757,8448.275,0.016
4,33,29,62,Cu,-62787.426,61.932594921,8707.531,0.018
10,36,26,62,Fe,-58878.048,61.936791812,7483.394,0.005
12,37,25,62,Mn,-48523.957,61.947907386,8201.819,0.008
8,35,27,62,Co,-61424.282,61.934058317,8203.504,0.008
14,38,24,62,Cr,-40894.961,61.956097451,8215.322,0.008
5,34,29,63,Cu,-65579.752,62.929597236,8213.251,0.008
7,35,28,63,Ni,-65512.775,62.929669139,8187.614,0.007
1,32,31,63,Ga,-56547.093,62.939294195,8192.433,0.008
3,33,30,63,Zn,-62213.397,62.933211167,8111.898,0.007
13,38,25,63,Mn,-46887.053,62.949664675,8224.796,0.008
11,37,26,63,Fe,-55635.621,62.9402727,8724.579,0.017
9,36,27,63,Co,-61851.44,62.933599744,8101.397,0.048
-1,31,32,63,Ge,-46921.216,62.949628,8560.894,0.011
15,39,24,63,Cr,-36007.474,62.961344384,8709.28,0.017
6,35,29,64,Cu,-65424.545,63.929763857,7576.102,0.005
8,36,28,64,Ni,-67098.921,63.927966341,8220.418,0.008
4,34,30,64,Zn,-66004.014,63.929141772,8104.532,0.007
2,33,31,64,Ga,-58832.821,63.936840365,8233.401,0.008
14,39,25,64,Mn,-42989.035,63.95384937,8069.14,0.007
0,32,32,64,Ge,-54315.496,63.941689913,7630.996,0.005
12,38,26,64,Fe,-54969.544,63.940987763,7975.116,0.006
10,37,27,64,Co,-59792.329,63.935810291,7988.601,0.007
16,40,24,64,Cr,-33479.757,63.964058,8059.02,0.007
9,37,28,65,Ni,-65125.685,64.930084697,8244.061,0.008
5,35,30,65,Zn,-65912.019,64.929240532,7620.118,0.005
7,36,29,65,Cu,-67263.66,64.927789487,8228.534,0.008
3,34,31,65,Ga,-62657.507,64.932734395,8053.448,0.007
11,38,27,65,Co,-59185.198,64.936462073,8198.138,0.008
1,33,32,65,Ge,-56478.216,64.939368137,7878.394,0.006
15,40,25,65,Mn,-40967.339,64.95601975,8677.512,0.015
13,39,26,65,Fe,-51217.895,64.945015324,7541.327,0.005
-1,32,33,65,As,-46937.051,64.949611,7486.04,0.005
8,37,29,66,Cu,-66258.272,65.928868814,7452.887,0.005
6,36,30,66,Zn,-68899.16,65.926033704,7818.784,0.006
4,35,31,66,Ga,-63723.66,65.931589832,8188.8,0.008
10,38,28,66,Ni,-66006.285,65.929139334,8177.465,0.008
2,34,32,66,Ge,-61607.032,65.933862126,8243.971,0.008
14,40,26,66,Fe,-50067.839,65.94624996,8261.621,0.009
0,33,33,66,As,-52025.077,65.944148779,8183.014,0.008
16,41,25,66,Mn,-36750.387,65.960546834,7871.721,0.006
12,39,27,66,Co,-56408.533,65.939442945,8532.108,0.012
1,34,33,67,As,-56587.225,66.939251111,8547.915,0.012
7,37,30,67,Zn,-67880.313,66.927127482,8249.577,0.009
9,38,29,67,Cu,-67319.513,66.927729526,8230.272,0.009
5,36,31,67,Ga,-66879.048,66.928202384,8122.585,0.008
11,39,28,67,Ni,-63742.68,66.931569414,8537.339,0.017
3,35,32,67,Ge,-62658.23,66.93273362,8583.926,0.021
13,40,27,67,Co,-55321.775,66.940609628,7560.567,0.005
-1,33,34,67,Se,-46580.289,66.949994,7948.113,0.007
15,41,26,67,Fe,-45610.155,66.951035482,8263.466,0.009
0,34,34,68,Se,-54189.441,67.941825239,7938.999,0.007
8,38,30,68,Zn,-70007.092,67.924844291,8680.963,0.019
6,37,31,68,Ga,-67085.992,67.927980221,6631.223,0.11
10,39,29,68,Cu,-65567.035,67.929610889,8239.297,0.009
2,35,33,68,As,-58894.519,67.93677413,8226.583,0.009
4,36,32,68,Ge,-66978.789,67.928095308,7938.133,0.007
12,40,28,68,Ni,-63463.814,67.931868789,8228.699,0.009
14,41,27,68,Co,-51930.665,67.944250135,7928.487,0.007
16,42,26,68,Fe,-43486.914,67.953314875,7924.915,0.007
9,39,30,69,Zn,-68417.845,68.926550418,7604.866,0.006
7,38,31,69,Ga,-69327.809,68.925573531,8584.848,0.013
5,37,32,69,Ge,-67100.663,68.927964471,8217.098,0.009
11,40,29,69,Cu,-65736.213,68.929429268,8174.479,0.008
1,35,34,69,Se,-56434.706,68.939414847,8595.118,0.014
13,41,28,69,Ni,-59978.648,68.935610268,7933.786,0.007
3,36,33,69,As,-63112.171,68.932246294,7832.542,0.006
-1,34,35,69,Br,-46259.47,68.950338413,7847.987,0.007
15,42,27,69,Co,-50279.157,68.946023102,8279.633,0.009
6,38,32,70,Ge,-70561.876,69.924248706,8326.922,0.009
12,41,29,70,Cu,-62976.373,69.932392079,8330.488,0.01
8,39,31,70,Ga,-68910.14,69.926021917,8346.03,0.01
2,36,34,70,Se,-61929.891,69.933515523,7947.701,0.007
10,40,30,70,Zn,-69564.735,69.925319181,8280.575,0.009
14,42,28,70,Ni,-59213.86,69.936431303,8309.187,0.01
0,35,35,70,Br,-51425.619,69.944792323,8304.092,0.009
4,37,33,70,As,-64341.876,69.930926151,7530.173,0.006
9,40,31,71,Ga,-70139.135,70.924702536,8283.603,0.009
7,39,32,71,Ge,-69906.497,70.924952284,7587.056,0.006
13,42,29,71,Cu,-62711.127,70.932676832,8516.852,0.013
15,43,28,71,Ni,-55406.228,70.940518964,8514.879,0.03
11,41,30,71,Zn,-67328.777,70.92771958,8586.525,0.019
3,37,34,71,Se,-63146.507,70.932209432,8695.204,0.02
5,38,33,71,As,-67893.097,70.927113758,8739.508,0.021
1,36,35,71,Br,-56502.418,70.939342156,8284.372,0.01
-1,35,36,71,Kr,-46327.205,70.950265696,8189.153,0.009
17,44,27,71,Co,-44369.926,70.952366923,8216.674,0.009
8,40,32,72,Ge,-72585.9,71.922075826,8023.4,0.008
10,41,31,72,Ga,-68588.293,71.926367434,8012.628,0.008
2,37,35,72,Br,-59061.743,71.936594607,8051.835,0.008
14,43,29,72,Cu,-59782.999,71.935820307,8049.442,0.008
4,38,34,72,Se,-67868.18,71.927140507,8038.546,0.008
12,42,30,72,Zn,-68145.486,71.926842807,8006.735,0.008
16,44,28,72,Ni,-54226.06,71.941785926,8034.93,0.008
6,39,33,72,As,-68229.798,71.926752295,8022.002,0.008
0,36,36,72,Kr,-53940.575,71.942092407,7615.033,0.006
9,41,32,73,Ge,-71297.523,72.923458956,7602.893,0.006
11,42,31,73,Ga,-69699.335,72.925174682,8611.631,0.022
13,43,30,73,Zn,-65593.402,72.929582582,8701.218,0.021
15,44,29,73,Cu,-58987.437,72.936674378,8025.442,0.008
17,45,28,73,Ni,-50108.152,72.946206683,8017.948,0.008
7,40,33,73,As,-70952.747,72.923829089,7835.965,0.007
1,37,36,73,Kr,-56551.751,72.939289195,7785.116,0.007
3,38,35,73,Br,-63647.475,72.931671621,8582.273,0.019
5,39,34,73,Se,-68227.387,72.926754883,8534.787,0.013
10,42,32,74,Ge,-73422.442,73.921177762,8226.835,0.009
6,40,34,74,Se,-72213.201,73.922475935,8033.585,0.008
8,41,33,74,As,-70860.054,73.923928598,8061.359,0.008
2,38,36,74,Kr,-62331.836,73.933084017,8211.223,0.01
14,44,30,74,Zn,-65756.712,73.929407262,8450.365,0.015
12,43,31,74,Ga,-68049.617,73.926945726,8503.707,0.022
0,37,37,74,Rb,-51916.009,73.944265868,8635.022,0.021
4,39,35,74,Br,-65288.153,73.929910281,8643.998,0.026
16,45,29,74,Cu,-56006.205,73.939874862,8648.901,0.016
11,43,32,75,Ge,-71856.965,74.922858371,8664.184,0.016
7,41,34,75,Se,-72169.481,74.922522871,7521.308,0.006
9,42,33,75,As,-73034.195,74.921594562,7570.125,0.006
1,38,37,75,Rb,-57218.694,74.938573201,7526.925,0.006
15,45,30,75,Zn,-62558.908,74.932840246,8682.539,0.017
17,46,29,75,Cu,-54471.341,74.941522606,8458.045,0.012
13,44,31,75,Ga,-68464.58,74.926500246,8473.279,0.012
5,40,35,75,Br,-69107.009,74.92581057,7558.561,0.006
3,39,36,75,Kr,-64323.624,74.930945746,8450.3,0.012
-1,37,38,75,Sr,-46618.694,74.94995277,8463.248,0.012
8,42,34,76,Se,-75251.95,75.919213704,8465.546,0.012
12,44,32,76,Ge,-73212.889,75.921402726,8736.713,0.026
10,43,33,76,As,-72291.377,75.92239201,8472.328,0.012
2,39,37,76,Rb,-60479.081,75.935073032,8456.16,0.012
16,46,30,76,Zn,-62303.016,75.933114957,8478.14,0.012
14,45,31,76,Ga,-66296.64,75.928827625,8446.118,0.012
4,40,36,76,Kr,-69013.714,75.925910726,7499.121,0.006
18,47,29,76,Cu,-50975.985,75.945275025,7511.471,0.006
6,41,35,76,Br,-70289.068,75.924541577,8147.929,0.009
0,38,38,76,Sr,-54247.639,75.941762761,8181.583,0.01
13,45,32,77,Ge,-71212.862,76.923549844,8538.764,0.014
9,43,34,77,Se,-74599.488,76.91991415,7479.956,0.006
3,40,37,77,Rb,-64830.492,76.9304016,8111.959,0.009
11,44,33,77,As,-73916.318,76.920647564,8248.338,0.011
5,41,36,77,Kr,-70169.443,76.92467,8303.679,0.011
17,47,30,77,Zn,-58789.195,76.936887199,8097.746,0.009
15,46,31,77,Ga,-65992.344,76.9291543,8686.285,0.025
7,42,35,77,Br,-73234.809,76.921379194,8071.453,0.009
1,39,38,77,Sr,-57803.436,76.937945455,8079.03,0.009
10,44,34,78,Se,-77025.944,77.917309243,8506.811,0.014
6,42,36,78,Kr,-74178.275,77.920366341,8293.013,0.011
16,47,31,78,Ga,-63705.95,77.931608845,8398.373,0.016
18,48,30,78,Zn,-57483.235,77.938289205,8493.84,0.036
4,41,37,78,Rb,-66935.419,77.928141868,8550.163,0.032
14,46,32,78,Ge,-71862.05,77.922852912,8576.033,0.023
8,43,35,78,Br,-73452.16,77.921145859,8701.89,0.023
2,40,38,78,Sr,-63173.941,77.93217998,8376.317,0.011
12,45,33,78,As,-72816.94,77.921827795,8355.408,0.011
20,49,29,78,Cu,-44497.469,77.95223,7417.582,0.006
11,45,34,79,Se,-75917.459,78.918499251,7886.219,0.008
9,44,35,79,Br,-76068.035,78.918337601,7536.848,0.007
17,48,31,79,Ga,-62547.679,78.932852301,8693.345,0.018
5,42,37,79,Rb,-70802.985,78.923989864,8713.978,0.018
19,49,30,79,Zn,-53432.295,78.942638068,8665.602,0.027
7,43,36,79,Kr,-74442.257,78.920082945,8167.191,0.01
13,46,33,79,As,-73636.049,78.920948445,7887.482,0.008
3,41,38,79,Sr,-65476.889,78.929707664,8648.799,0.031
15,47,32,79,Ge,-69526.592,78.925360129,8381.879,0.012
1,40,39,79,Y ,-57817.833,78.93793,8484.131,0.016
8,44,36,80,Kr,-77893.346,79.916378048,8593.834,0.018
12,46,34,80,Se,-77759.457,79.916521785,8336.31,0.012
10,45,35,80,Br,-75888.993,79.91852981,8353.992,0.012
6,43,37,80,Rb,-72175.467,79.922516444,8533.351,0.016
16,48,32,80,Ge,-69535.306,79.925350774,8125.546,0.01
20,50,30,80,Zn,-51648.612,79.94455293,8517.622,0.016
18,49,31,80,Ga,-59223.667,79.936420774,8437.737,0.017
14,47,33,80,As,-72214.493,79.922474548,8693.873,0.023
4,42,38,80,Sr,-70311.459,79.92451754,8680.001,0.023
2,41,39,80,Y ,-61148.152,79.934354755,8695.978,0.022
11,46,35,81,Br,-77977.034,80.916288206,7570.759,0.007
13,47,34,81,Se,-76388.988,80.917993044,8325.95,0.013
9,45,36,81,Kr,-77696.181,80.916589714,8114.954,0.01
17,49,32,81,Ge,-66291.687,80.928832942,8477.658,0.032
15,48,33,81,As,-72533.304,80.92213229,8345.738,0.013
5,43,38,81,Sr,-71528.125,80.923211394,8494.402,0.044
19,50,31,81,Ga,-57627.954,80.938133842,7839.358,0.008
7,44,37,81,Rb,-75456.67,80.918993927,7848.648,0.008
21,51,30,81,Zn,-46199.663,80.950402619,8557.379,0.04
3,42,39,81,Y ,-65712.912,80.929454283,7700.008,0.055
1,41,40,81,Zr,-57460.139,80.938314,7618.426,0.008
10,46,36,82,Kr,-80591.78515,81.9134811552,7835.188,0.009
14,48,34,82,Se,-77593.882,81.916699537,8662.372,0.019
12,47,35,82,Br,-77498.661,81.91680176,7509.27,0.007
18,50,32,82,Ge,-65415.067,81.929774033,8437.565,0.014
20,51,31,82,Ga,-52930.719,81.943176533,7738.293,0.086
8,45,37,82,Rb,-76187.803,81.918209024,7645.08,0.008
22,52,30,82,Zn,-42313.954,81.954574099,7611.897,0.008
16,49,33,82,As,-70105.419,81.924738733,7577.918,0.008
4,43,39,82,Y ,-68064.091,81.926930188,8489.754,0.018
6,44,38,82,Sr,-76010.053,81.918399847,7679.922,0.008
2,42,40,82,Zr,-63631.287,81.931689,7717.254,0.008
11,47,36,83,Kr,-79990.633,82.914126518,7758.819,0.008
9,46,37,83,Rb,-79070.63,82.915114182,8430.89,0.015
19,51,32,83,Ge,-60976.435,82.934539101,7804.319,0.009
21,52,31,83,Ga,-49257.122,82.947120301,8684.941,0.02
17,50,33,83,As,-69669.323,82.925206901,8670.329,0.035
15,49,34,83,Se,-75340.53,82.919118609,8557.745,0.027
13,48,35,83,Br,-79013.709,82.915175289,7803.313,0.009
3,43,40,83,Zr,-65911.654,82.929240925,7847.183,0.009
7,45,38,83,Sr,-76797.606,82.917554374,8084.661,0.011
5,44,39,83,Y ,-72205.665,82.922484025,6728.025,0.093
1,42,41,83,Nb,-57556.083,82.938211,8530.825,0.043
12,48,36,84,Kr,-82439.3351,83.9114977286,8591.259,0.021
8,46,38,84,Sr,-80649.57,83.91341912,8611.675,0.023
16,50,34,84,Se,-75947.721,83.918466762,8648.345,0.026
10,47,37,84,Rb,-79758.964,83.914375225,8446.249,0.053
20,52,32,84,Ge,-58148.428,83.937575091,8556.063,0.024
18,51,33,84,As,-65853.56,83.929303291,8386.816,0.014
6,45,39,84,Y ,-73894.431,83.920671061,8688.136,0.028
4,44,40,84,Zr,-71421.686,83.923325662,8389.77,0.014
2,43,41,84,Nb,-61218.717,83.934279,7515.303,0.008
14,49,35,84,Br,-77783.084,83.916496419,8329.428,0.013
11,48,37,85,Rb,-82167.3305,84.9117897376,8577.127,0.024
13,49,36,85,Kr,-81480.331,84.912527262,8310.088,0.014
17,51,34,85,Se,-72413.636,84.922260759,7542.861,0.008
9,47,38,85,Sr,-81103.28,84.912932043,5720.722,0.159
19,52,33,85,As,-63189.144,84.932163659,8376.186,0.02
15,50,35,85,Br,-78575.469,84.915645759,8729.808,0.027
21,53,32,85,Ge,-53123.42,84.942969659,7650.707,0.008
3,44,41,85,Nb,-66279.676,84.928845837,7683.664,0.009
5,45,40,85,Zr,-73175.189,84.921443198,7661.962,0.009
1,43,42,85,Mo,-57509.753,84.938260737,8665.09,0.041
7,46,39,85,Y ,-77842.123,84.916433039,8025.881,0.011
14,50,36,86,Kr,-83265.66564,85.9106106262,8430.996,0.016
10,48,38,86,Sr,-84523.08935,85.9092607263,8568.569,0.027
12,49,37,86,Rb,-82746.993,85.911167443,8507.379,0.025
18,52,34,86,Se,-70503.167,85.924311733,7694.497,0.009
16,51,35,86,Br,-75632.252,85.918805433,7648.303,0.009
20,53,33,86,As,-58962.142,85.936701533,8592.497,0.026
6,46,40,86,Zr,-77969.014,85.916296815,8616.836,0.025
2,44,42,86,Mo,-64110.245,85.931174817,8624.526,0.026
4,45,41,86,Nb,-69134.054,85.925781535,8644.489,0.027
8,47,39,86,Y ,-79283.089,85.914886098,8658.793,0.023
22,54,32,86,Ge,-49399.922,85.946967,8243.336,0.013
11,49,38,87,Sr,-84880.06595,86.9088774961,7731.528,0.009
13,50,37,87,Rb,-84597.791,86.909180531,8530.003,0.026
15,51,36,87,Kr,-80709.522,86.913354759,7772.394,0.009
9,48,39,87,Y ,-83018.376,86.910876102,8354.872,0.015
19,53,34,87,Se,-66426.125,86.928688618,7553.688,0.008
3,45,42,87,Mo,-66884.808,86.928196201,7642.428,0.009
21,54,33,87,As,-55617.907,86.940291718,8698.562,0.024
17,52,35,87,Br,-73891.676,86.920674018,8272.413,0.071
7,47,40,87,Zr,-79347.137,86.914817339,8355.047,0.014
1,44,43,87,Tc,-57690.044,86.938067187,8378.025,0.014
5,46,41,87,Nb,-73874.486,86.920692472,8533.038,0.027
12,50,38,88,Sr,-87921.61793,87.9056122556,8492.764,0.022
14,51,37,88,Rb,-82608.995,87.911315591,8627.57,0.026
10,49,39,88,Y ,-84299.018,87.909501276,8580.658,0.025
16,52,36,88,Kr,-79691.286,87.914447881,8384.76,0.015
18,53,35,88,Br,-70715.959,87.924083291,8531.462,0.022
20,54,34,88,Se,-63884.195,87.931417491,8389.025,0.016
4,46,42,88,Mo,-72686.544,87.921967781,8656.884,0.032
8,48,40,88,Zr,-83628.871,87.910220709,8392.552,0.016
6,47,41,88,Nb,-76173.586,87.918224287,7647.458,0.009
2,45,43,88,Tc,-61681.315,87.933782381,7685.309,0.009
13,51,38,89,Sr,-86209.017,88.907450808,7639.196,0.009
11,50,39,89,Y ,-87708.352,88.905841205,7723.777,0.01
17,53,36,89,Kr,-76535.785,88.91783545,7914.15,0.011
9,49,40,89,Zr,-84875.561,88.908882332,8280.235,0.015
19,54,35,89,Br,-68274.263,88.926704559,7918.774,0.011
21,55,34,89,Se,-58992.391,88.936669059,7768.176,0.01
3,46,43,89,Tc,-67394.848,88.92764865,8695.972,0.024
5,47,42,89,Mo,-75014.935,88.91946815,8277.177,0.014
15,52,37,89,Rb,-81712.388,88.912278137,8255.442,0.014
7,48,41,89,Nb,-80625.209,88.913445272,4337.423,0.237
10,50,40,90,Zr,-88772.535,89.904698758,8311.59,0.015
4,47,43,90,Tc,-70724.687,89.924073921,8601.142,0.027
12,51,39,90,Y ,-86494.062,89.9071448,8614.815,0.024
18,54,36,90,Kr,-74959.25,89.91952793,8691.805,0.03
14,52,38,90,Sr,-85948.127,89.907730885,8604.291,0.031
8,49,41,90,Nb,-82661.519,89.911259204,7902.3,0.011
20,55,35,90,Br,-64000.298,89.93129285,8555.058,0.033
6,48,42,90,Mo,-80172.503,89.913931272,8676.224,0.026
2,46,44,90,Ru,-64883.792,89.930344379,8442.928,0.024
16,53,37,90,Rb,-79364.404,89.914798803,8639.349,0.047
22,56,34,90,Se,-55800.217,89.940096,8450.582,0.028
11,51,40,91,Zr,-87895.566,90.905640223,8668.979,0.049
13,52,39,91,Y ,-86351.295,90.907298066,8225.517,0.072
3,47,44,91,Ru,-68239.823,90.926741532,8541.751,0.025
19,55,36,91,Kr,-70973.965,90.92380631,8520.211,0.031
5,48,43,91,Tc,-75986.646,90.918424975,8543.156,0.032
9,50,41,91,Nb,-86638.001,90.906990274,8529.091,0.026
21,56,35,91,Br,-61107.294,90.934398618,8563.756,0.027
15,53,38,91,Sr,-83651.927,90.910195958,8163.119,0.014
7,49,42,91,Mo,-82208.821,90.911745195,8613.291,0.046
17,54,37,91,Rb,-77745.037,90.916537265,8042.054,0.013
23,57,34,91,Se,-50580.124,90.9457,7603.956,0.01
12,52,40,92,Zr,-88459.028,91.905035322,8439.929,0.046
8,50,42,92,Mo,-86808.576,91.906807155,8068.533,0.013
10,51,41,92,Nb,-86453.292,91.907188568,7817.007,0.011
20,56,36,92,Kr,-68769.32,91.926173094,8261.526,0.015
4,48,44,92,Ru,-74301.201,91.920234375,8319.429,0.017
6,49,43,92,Tc,-78925.693,91.915269779,8060.761,0.013
16,54,38,92,Sr,-82867.361,91.911038224,8357.085,0.019
2,47,45,92,Rh,-62999.087,91.932367694,8424.266,0.019
18,55,37,92,Rb,-74772.438,91.919728481,7373.796,0.144
22,57,35,92,Br,-56232.805,91.939631597,8584.192,0.022
14,53,39,92,Y ,-84816.492,91.908945745,8568.949,0.022
9,51,42,93,Mo,-86807.069,92.906808773,7849.853,0.011
13,53,40,93,Zr,-87122.032,92.906470646,7948.525,0.012
7,50,43,93,Tc,-83606.106,92.910245149,7738.752,0.011
11,52,41,93,Nb,-87212.838,92.906373161,7936.27,0.012
5,49,44,93,Ru,-77216.713,92.917104444,8290.887,0.017
21,57,36,93,Kr,-64135.994,92.931147174,8598.915,0.038
3,48,45,93,Rh,-69011.8,92.925912781,8628.138,0.039
17,55,38,93,Sr,-80085.838,92.914024311,8675.218,0.028
19,56,37,93,Rb,-72619.901,92.922039325,8680.921,0.039
15,54,39,93,Y ,-84227.157,92.909578422,8495.094,0.031
23,58,35,93,Br,-52890.23,92.94322,8078.232,0.014
10,52,42,94,Mo,-88414.065,93.905083592,7524.815,0.01
14,54,40,94,Zr,-87269.322,93.906312524,7465.347,0.009
12,53,41,94,Nb,-86369.062,93.907278992,7496.728,0.01
18,56,38,94,Sr,-78845.711,93.915355643,8536.655,0.026
20,57,37,94,Rb,-68562.785,93.926394818,8190.13,0.015
6,50,44,94,Ru,-82583.591,93.911342863,7485.55,0.01
4,49,45,94,Rh,-72907.613,93.921730453,8553.9,0.022
8,51,43,94,Tc,-84158.317,93.909652325,7798.34,0.011
2,48,46,94,Pd,-66102.268,93.929036292,8542.025,0.022
16,55,39,94,Y ,-82351.463,93.911592063,8441.489,0.019
22,58,36,94,Kr,-61347.772,93.934140454,8487.907,0.02
11,53,42,95,Mo,-87711.858,94.905837442,7854.505,0.012
13,54,41,95,Nb,-86786.258,94.906831115,8412.647,0.018
15,55,40,95,Zr,-85659.94,94.908040267,8625.437,0.036
3,49,46,95,Pd,-69965.9,94.924888512,7932.022,0.012
5,50,45,95,Rh,-78340.606,94.915897895,7634.65,0.011
9,52,43,95,Tc,-86021.341,94.907652287,7444.792,0.01
19,57,38,95,Sr,-75119.551,94.91935584,8467.243,0.02
17,56,39,95,Y ,-81208.848,94.912818711,8516.08,0.022
7,51,44,95,Ru,-83457.745,94.91040442,8613.39,0.031
23,59,36,95,Kr,-56158.913,94.939710923,8660.808,0.032
21,58,37,95,Rb,-65891.493,94.929262568,8457.652,0.033
16,56,40,96,Zr,-85438.846,95.908277621,8421.049,0.03
12,54,42,96,Mo,-88794.876,95.904674774,8504.345,0.029
14,55,41,96,Nb,-85602.816,95.908101591,7499.663,0.01
8,52,44,96,Ru,-86080.372,95.907588914,8372.344,0.019
22,59,37,96,Rb,-61354.349,95.934133393,8346.747,0.02
4,50,46,96,Pd,-76183.406,95.918213744,8405.222,0.021
10,53,43,96,Tc,-85821.634,95.907866681,8587.399,0.024
18,57,39,96,Y ,-78335.895,95.915902953,8561.9,0.024
20,58,38,96,Sr,-72924.157,95.921712692,8572.704,0.024
6,51,45,96,Rh,-79687.718,95.91445171,8324.678,0.018
24,60,36,96,Kr,-53079.678,95.943016618,8347.071,0.018
2,49,47,96,Ag,-64511.636,95.930743906,8433.889,0.021
13,55,42,97,Mo,-87544.691,96.906016903,8458.108,0.027
17,57,40,97,Zr,-82942.661,96.910957386,8642.754,0.034
23,60,37,97,Rb,-58519.137,96.937177118,8581.822,0.029
9,53,44,97,Ru,-86120.552,96.907545779,7531.008,0.01
21,59,38,97,Sr,-68581.454,96.926374776,8504.928,0.025
11,54,43,97,Tc,-87224.424,96.906360723,7551.77,0.011
15,56,41,97,Nb,-85605.776,96.908098414,8405.549,0.02
5,51,46,97,Pd,-77805.843,96.916471987,8398.587,0.02
19,58,39,97,Y ,-76121.424,96.918280286,7942.491,0.013
7,52,45,97,Rh,-82597.552,96.911327876,8468.331,0.021
3,50,47,97,Ag,-70825.843,96.923965326,8482.066,0.021
25,61,36,97,Kr,-47423.492,96.949088784,8423.545,0.032
14,56,42,98,Mo,-88115.972,97.905403608,7596.855,0.011
22,60,38,98,Sr,-66423.104,97.92869186,7667.586,0.012
12,55,43,98,Tc,-86432.205,97.907211205,8458.17,0.021
6,52,46,98,Pd,-81320.975,97.912698337,7909.44,0.014
16,57,41,98,Nb,-83524.598,97.91033265,8656.849,0.03
10,54,44,98,Ru,-88224.858,97.905286713,8703.768,0.043
20,59,39,98,Y ,-72294.777,97.92238836,8372.575,0.031
18,58,40,98,Zr,-81286.709,97.912735124,8610.304,0.031
8,53,45,98,Rh,-83175.205,97.91070774,7505.136,0.011
24,61,37,98,Rb,-54369.146,97.941632317,8434.825,0.028
4,51,47,98,Ag,-73066.415,97.921559972,8263.541,0.018
2,50,48,98,Cd,-67636.415,97.927389317,7566.495,0.139
15,57,42,99,Mo,-85970.098,98.907707298,8291.989,0.02
11,55,44,99,Ru,-87625.381,98.905930278,8648.056,0.033
13,56,43,99,Tc,-87327.862,98.906249678,8689.041,0.037
3,51,48,99,Cd,-69931.123,98.924925847,7613.387,0.012
25,62,37,99,Rb,-51121.143,98.945119192,8338.78,0.021
23,61,38,99,Sr,-62521.401,98.932880511,8395.395,0.022
7,53,46,99,Pd,-82182.651,98.91177329,8686.256,0.055
5,52,47,99,Ag,-76712.473,98.917645768,7914.753,0.014
21,60,39,99,Y ,-70649.825,98.924154288,8233.169,0.019
9,54,45,99,Rh,-85581.3,98.90812469,8297.959,0.021
19,59,40,99,Zr,-77620.617,98.916670835,8512.674,0.029
17,58,41,99,Nb,-82335.341,98.911609371,8696.643,0.047
16,58,42,100,Mo,-86193.025,99.907467976,8504.773,0.03
12,56,44,100,Ru,-89227.389,99.904210452,7811.354,0.013
14,57,43,100,Tc,-86020.945,99.907652711,8453.459,0.026
4,52,48,100,Cd,-74194.596,99.92034882,8383.643,0.02
6,53,47,100,Ag,-78137.959,99.916115445,8204.582,0.018
24,62,38,100,Sr,-59820.903,99.935779615,8311.54,0.019
18,59,41,100,Nb,-79797.399,99.914333963,8604.279,0.028
20,60,40,100,Zr,-76377.437,99.918005444,8193.227,0.067
22,61,39,100,Y ,-67327.396,99.927721063,8586.06,0.039
8,54,46,100,Pd,-85212.778,99.908520315,8692.882,0.045
10,55,45,100,Rh,-85591.126,99.908114141,8599.653,0.034
26,63,37,100,Rb,-46247.064,99.950351731,8288.182,0.02
2,51,49,100,In,-64312.972,99.93095718,8344.69,0.02
0,50,50,100,Sn,-57282.972,99.938504196,8666.806,0.037
17,59,42,101,Mo,-83519.949,100.910337641,8675.718,0.033
13,57,44,101,Ru,-87958.114,100.905573075,8173.669,0.071
5,53,48,101,Cd,-75836.456,100.918586211,8462.424,0.033
19,60,41,101,Nb,-78891.491,100.915306496,8302.657,0.02
9,55,46,101,Pd,-85432.132,100.908284828,8314.76,0.02
7,54,47,101,Ag,-81334.374,100.912683953,8357.681,0.023
11,56,45,101,Rh,-87412.416,100.906158905,7636.455,0.088
23,62,39,101,Y ,-65061.002,100.930154138,7914.597,0.015
21,61,40,101,Zr,-73165.957,100.92145311,8255.364,0.02
25,63,38,101,Sr,-55324.907,100.940606266,8261.128,0.096
15,58,43,101,Tc,-86344.594,100.90730526,8695.75,0.043
1,51,50,101,Sn,-60305.626,100.935259244,8508.454,0.036
14,58,44,102,Ru,-89106.437,101.9043403,8155.436,0.02
10,56,46,102,Pd,-87903.171,101.905632058,8670.897,0.032
6,54,48,102,Cd,-79659.691,101.914481799,7448.47,0.012
20,61,41,102,Nb,-76304.544,101.918083697,7914.369,0.015
24,63,39,102,Y ,-61173.177,101.934327889,7914.855,0.015
4,53,49,102,In,-70694.884,101.924105916,8305.296,0.021
12,57,45,102,Rh,-86783.318,101.90683427,8682.466,0.044
8,55,47,102,Ag,-82246.691,101.91170454,8413.851,0.034
18,60,42,102,Mo,-83566.061,101.910288138,8663.167,0.04
22,62,40,102,Zr,-71587.707,101.923147431,8387.035,0.024
