1nz,N,Z,A,EL,MASSEXCESS,AtomicMass,BE,BE_uncer
-3,9,12,21,Mg,10903.85,21.011705764,8369.198,0.002
3,12,9,21,F ,-47.605,20.999948894,3924.52,0.011
5,13,8,21,O ,8062.035,21.00865495,8705.922,0.001
7,14,7,21,N ,25231.913,21.027087573,8339.847,0.003
2,12,10,22,Ne,-8024.719,21.991385109,8523.116,0.001
0,11,11,22,Na,-5181.511,21.994437418,8666.686,0.002
-2,10,12,22,Mg,-399.933,21.999570654,7765.547,0.005
4,13,9,22,F ,2793.373,22.002998809,8505.481,0.003
6,14,8,22,O ,9283.033,22.009965746,8692.678,0.001
8,15,7,22,N ,31764.801,22.034100918,8364.286,0.001
10,16,6,22,C ,53611.197,22.05755399,7955.256,0.005
1,12,11,23,Na,-9529.85248,22.9897692819,8693.314,0.001
3,13,10,23,Ne,-5154.049,22.9944669,8551.256,0.003
-1,11,12,23,Mg,-5473.513,22.994123941,8124.341,0.004
-3,10,13,23,Al,6748.07,23.007244351,7924.708,0.004
5,14,9,23,F ,3285.263,23.003526874,8723.006,0.002
7,15,8,23,O ,14621.369,23.015696686,8635.327,0.001
9,16,7,23,N ,36720.425,23.039421,8711.157,0.002
0,12,12,24,Mg,-13933.569,23.985041697,8661.227,0.002
2,13,11,24,Na,-8417.901,23.990963011,8709.969,0.001
-2,11,13,24,Al,-48.865,23.999947541,8653.987,0.001
4,14,10,24,Ne,-5951.646,23.993610645,8755.718,0.002
-4,10,14,24,Si,10745.195,24.011535441,8648.72,0.001
6,15,9,24,F ,7544.515,24.00809937,8546.706,0.003
8,16,8,24,O ,18500.402,24.019861,8662.333,0.002
1,13,12,25,Mg,-13192.783,24.985836964,8628.886,0.002
-1,12,13,25,Al,-8915.975,24.990428306,8616.563,0.004
3,14,11,25,Na,-9357.813,24.989953973,8657.73,0.002
-3,11,14,25,Si,3827.324,25.004108801,7901.115,0.007
5,15,10,25,Ne,-2035.502,24.997814799,8681.115,0.002
7,16,9,25,F ,11334.166,25.012167727,7567.343,0.008
9,17,8,25,O ,27329.027,25.029338919,8512.35,0.001
2,14,12,26,Mg,-16214.542,25.982592971,8666.801,0.002
0,13,13,26,Al,-12210.151,25.986891863,8635.092,0.002
-2,12,14,26,Si,-7141.015,25.992333804,8656.451,0.004
4,15,11,26,Na,-6860.78,25.992634649,8444.933,0.004
6,16,10,26,Ne,481.114,26.000516496,8582.225,0.004
8,17,9,26,F ,18648.875,26.020020392,8609.412,0.002
10,18,8,26,O ,34661.037,26.037210155,7915.667,0.008
1,14,13,27,Al,-17196.861,26.981538408,8635.168,0.002
3,15,12,27,Mg,-14586.611,26.984340628,8717.806,0.002
-1,13,14,27,Si,-12384.503,26.986704688,8651.409,0.002
5,16,11,27,Na,-5517.79,26.994076408,5037.768,0.021
-3,12,15,27,P ,-722.458,26.999224409,8522.929,0.002
7,17,10,27,Ne,7050.909,27.007569462,8575.389,0.005
9,18,9,27,F ,25450.279,27.027322,8240.043,0.005
0,14,14,28,Si,-21492.7943,27.9769265349,8438.058,0.005
2,15,13,28,Al,-16850.645,27.981910087,8614.28,0.005
-2,13,15,28,P ,-7147.74,27.992326585,8459.935,0.005
4,16,12,28,Mg,-15018.845,27.983876606,8696.901,0.002
6,17,11,28,Na,-988.315,27.998939,8594.844,0.004
8,18,10,28,Ne,11299.737,28.012130767,8486.13,0.004
-4,12,16,28,S ,4073.206,28.004372766,8122.707,0.007
10,19,9,28,F ,33741.596,28.036223095,8527.139,0.006
1,15,14,29,Si,-21895.07838,28.9764946652,8049.973,0.001
3,16,13,29,Al,-18207.76,28.980453164,8501.617,0.002
-1,14,15,29,P ,-16952.848,28.981800368,8695.592,0.003
7,18,11,29,Na,2679.994,29.002877092,8600.663,0.005
5,17,12,29,Mg,-10602.829,28.988617393,8281.8,0.007
-3,13,16,29,S ,-3156.416,28.996611448,8607.797,0.002
9,19,10,29,Ne,18399.801,29.019753,7649.582,0.01
-5,12,17,29,Cl,13162.176,29.014130178,5952.54,0.022
11,20,9,29,F ,40150.186,29.043103,8526.987,0.002
2,16,14,30,Si,-24432.96,29.973770136,8675.283,0.003
0,15,15,30,P ,-20200.854,29.978313489,7542.328,0.015
-2,14,16,30,S ,-14059.253,29.984906769,8544.73,0.002
4,17,13,30,Al,-15864.844,29.982968388,7238.863,0.021
6,18,12,30,Mg,-8883.82,29.990462826,8531.513,0.002
8,19,11,30,Na,8474.67,30.009097932,8259.247,0.007
-6,12,18,30,Ar,20931.147,30.022470511,8513.618,0.003
10,20,10,30,Ne,23280.117,30.024992235,8481.468,0.009
1,16,15,31,P ,-24440.54095,30.9737619986,8511.973,0.003
3,17,14,31,Si,-22949.036,30.975363194,8604.662,0.003
-1,15,16,31,S ,-19042.525,30.979557007,8790.354,0.005
5,18,13,31,Al,-14950.706,30.983949756,8765.022,0.006
7,19,12,31,Mg,-3122.151,30.996648232,8408.171,0.002
-3,14,17,31,Cl,-7034.551,30.992448098,8770.279,0.005
9,20,11,31,Na,12246.031,31.013146656,8397.533,0.002
11,21,10,31,Ne,31181.591,31.033474816,8402.755,0.002
0,16,16,32,S ,-26015.53355,31.9720711744,8661.238,0.004
2,17,15,32,P ,-24304.874,31.973907643,8572.915,0.003
4,18,14,32,Si,-24077.686,31.974151539,7662.761,0.014
-2,15,17,32,Cl,-13334.674,31.985684637,8391.827,0.002
-4,14,18,32,Ar,-2200.351,31.997637826,8393.42,0.002
8,20,12,32,Mg,-828.9,31.999110139,8367.017,0.002
6,19,13,32,Al,-11099.367,31.988084339,8658.175,0.007
10,21,11,32,Na,18640.151,32.020011026,8738.333,0.006
1,17,16,33,S ,-26585.85434,32.9714589098,8775.989,0.007
-1,16,17,33,Cl,-21003.337,32.977451989,8142.219,0.009
-3,15,18,33,Ar,-9384.292,32.989925547,8746.595,0.006
5,19,14,33,Si,-20514.325,32.977976964,8619.359,0.003
3,18,15,33,P ,-26337.346,32.971725694,8792.25,0.006
9,21,12,33,Mg,4962.297,33.005327245,8608.712,0.003
7,20,13,33,Al,-8497.38,32.990877687,7335.727,0.015
11,22,11,33,Na,23780.11,33.025529,8348.464,0.012
2,18,16,34,S ,-29931.685,33.967867012,8534.372,0.008
0,17,17,34,Cl,-24440.082,33.973762491,8760.198,0.007
-2,16,18,34,Ar,-18378.29,33.980270093,8777.955,0.007
4,19,15,34,P ,-24548.698,33.973645887,6640.499,0.021
8,21,13,34,Al,-3000.289,33.996779057,8754.771,0.006
6,20,14,34,Si,-19956.852,33.978575437,8537.079,0.003
10,22,12,34,Mg,8323.348,34.008935481,8388.956,0.003
12,23,11,34,Na,31680.111,34.03401,8251.236,0.012
1,18,17,35,Cl,-29013.528,34.968852694,7341.257,0.02
3,19,16,35,S ,-28846.206,34.969032322,8630.545,0.008
-3,16,19,35,K ,-11172.891,34.988005407,8736.382,0.007
-1,17,18,35,Ar,-23047.284,34.975257721,8732.059,0.006
5,20,15,35,P ,-24857.799,34.973314053,8736.588,0.006
9,22,13,35,Al,-223.728,34.999759817,8780.774,0.006
7,21,14,35,Si,-14391.457,34.984550134,8765.025,0.006
11,23,12,35,Mg,15639.784,35.01679,8551.275,0.003
0,18,18,36,Ar,-30231.54,35.967545105,8569.217,0.007
2,19,17,36,Cl,-29522.005,35.968306822,8304.755,0.012
4,20,16,36,S ,-30664.131,35.967080699,8731.924,0.007
-2,17,19,36,K ,-17417.065,35.98130201,8712.005,0.008
6,21,15,36,P ,-20251.034,35.978259619,7928.955,0.012
-4,16,20,36,Ca,-6451.149,35.993074406,8742.099,0.008
8,22,14,36,Si,-12436.124,35.986649271,8373.76,0.003
10,23,13,36,Al,5950.384,36.006388,8695.918,0.008
12,24,12,36,Mg,20380.157,36.021879,8576.22,0.01
3,20,17,37,Cl,-31761.538,36.965902584,8603.779,0.004
-1,18,19,37,K ,-24800.199,36.973375889,8601.365,0.004
5,21,16,37,S ,-26896.417,36.971125507,8607.427,0.004
1,19,18,37,Ar,-30947.664,36.966776314,8768.035,0.007
-3,17,20,37,Ca,-13136.066,36.985897852,8546.701,0.01
7,22,15,37,P ,-18995.998,36.979606956,8714.582,0.008
9,23,14,37,Si,-6571.511,36.992945191,8642.779,0.008
11,24,13,37,Al,9809.563,37.010531,8746.766,0.007
13,25,12,37,Mg,28211.474,37.030286265,8669.618,0.008
4,21,17,38,Cl,-29798.103,37.968010418,8367.248,0.003
-2,18,20,38,Ca,-22058.499,37.976319226,8701.032,0.009
0,19,19,38,K ,-28800.755,37.969081116,8794.553,0.007
2,20,18,38,Ar,-34714.821,37.962732104,8752.138,0.007
6,22,16,38,S ,-26861.203,37.97116331,8763.493,0.007
8,23,15,38,P ,-14621.563,37.984303105,8532.696,0.009
10,24,14,38,Si,-4170.299,37.995523,8530.568,0.007
12,25,13,38,Al,16209.859,38.017402,8584.365,0.004
1,20,19,39,K ,-33807.1901,38.9637064866,8739.075,0.007
-1,19,20,39,Ca,-27282.702,38.970710813,8734.175,0.009
5,22,17,39,Cl,-29800.205,38.968008162,8671.62,0.005
3,21,18,39,Ar,-33242.19,38.964313039,7911.552,0.002
-3,18,21,39,Sc,-14172.709,38.98478497,7631.638,0.026
7,23,16,39,S ,-23162.667,38.975133852,8693.196,0.006
9,24,15,39,P ,-12774.634,38.986285865,8777.461,0.007
11,25,14,39,Si,2320.352,39.002491,8509.611,0.004
4,22,18,40,Ar,-35039.89464,39.9623831237,7463.692,0.033
0,20,20,40,Ca,-34846.384,39.962590865,8694.836,0.009
2,21,19,40,K ,-33535.492,39.963998166,8736.24,0.008
-2,19,21,40,Sc,-20523.335,39.977967292,7935.941,0.003
8,24,16,40,S ,-22837.846,39.975482562,8477.047,0.007
6,23,17,40,Cl,-27557.813,39.970415469,7885.545,0.002
10,25,15,40,P ,-8114.37,39.991288865,8516.533,0.004
-4,18,22,40,Ti,-8850.384,39.990498721,8633.772,0.01
